--- Truth Table for 3 Inputs ---
In0 In1 In2 | AND | OR  | XOR
1   1   1   1   1   1   0   1   | 0   | 15  | 0  
1   1   1   1   1   1   1   0   | 0   | 15  | 0  
1   1   1   1   1   1   1   1   | 15  | 15  | 0  

--- Truth Table for 9 Inputs ---
In0 In1 In2 In3 In4 In5 In6 In7 In8 | AND | OR  | XOR
------------------------------------------------------
0   0   0   0   0   0   0   0   0   | 0   | 0   | 0  
0   0   0   0   0   0   0   0   1   | 0   | 15  | 15 
0   0   0   0   0   0   0   1   0   | 0   | 15  | 15 
0   0   0   0   0   0   0   1   1   | 0   | 15  | 0  
0   0   0   0   0   0   1   0   0   | 0   | 15  | 15 
0   0   0   0   0   0   1   0   1   | 0   | 15  | 0  
0   0   0   0   0   0   1   1   0   | 0   | 15  | 0  
0   0   0   0   0   0   1   1   1   | 0   | 15  | 0  
0   0   0   0   0   1   0   0   0   | 0   | 15  | 15 
0   0   0   0   0   1   0   0   1   | 0   | 15  | 0  
0   0   0   0   0   1   0   1   0   | 0   | 15  | 0  
0   0   0   0   0   1   0   1   1   | 0   | 15  | 0  
0   0   0   0   0   1   1   0   0   | 0   | 15  | 0  
0   0   0   0   0   1   1   0   1   | 0   | 15  | 0  
0   0   0   0   0   1   1   1   0   | 0   | 15  | 0  
0   0   0   0   0   1   1   1   1   | 0   | 15  | 0  
0   0   0   0   1   0   0   0   0   | 0   | 15  | 15 
0   0   0   0   1   0   0   0   1   | 0   | 15  | 0  
0   0   0   0   1   0   0   1   0   | 0   | 15  | 0  
0   0   0   0   1   0   0   1   1   | 0   | 15  | 0  
0   0   0   0   1   0   1   0   0   | 0   | 15  | 0  
0   0   0   0   1   0   1   0   1   | 0   | 15  | 0  
0   0   0   0   1   0   1   1   0   | 0   | 15  | 0  
0   0   0   0   1   0   1   1   1   | 0   | 15  | 0  
0   0   0   0   1   1   0   0   0   | 0   | 15  | 0  
0   0   0   0   1   1   0   0   1   | 0   | 15  | 0  
0   0   0   0   1   1   0   1   0   | 0   | 15  | 0  
0   0   0   0   1   1   0   1   1   | 0   | 15  | 0  
0   0   0   0   1   1   1   0   0   | 0   | 15  | 0  
0   0   0   0   1   1   1   0   1   | 0   | 15  | 0  
0   0   0   0   1   1   1   1   0   | 0   | 15  | 0  
0   0   0   0   1   1   1   1   1   | 0   | 15  | 0  
0   0   0   1   0   0   0   0   0   | 0   | 15  | 15 
0   0   0   1   0   0   0   0   1   | 0   | 15  | 0  
0   0   0   1   0   0   0   1   0   | 0   | 15  | 0  
0   0   0   1   0   0   0   1   1   | 0   | 15  | 0  
0   0   0   1   0   0   1   0   0   | 0   | 15  | 0  
0   0   0   1   0   0   1   0   1   | 0   | 15  | 0  
0   0   0   1   0   0   1   1   0   | 0   | 15  | 0  
0   0   0   1   0   0   1   1   1   | 0   | 15  | 0  
0   0   0   1   0   1   0   0   0   | 0   | 15  | 0  
0   0   0   1   0   1   0   0   1   | 0   | 15  | 0  
0   0   0   1   0   1   0   1   0   | 0   | 15  | 0  
0   0   0   1   0   1   0   1   1   | 0   | 15  | 0  
0   0   0   1   0   1   1   0   0   | 0   | 15  | 0  
0   0   0   1   0   1   1   0   1   | 0   | 15  | 0  
0   0   0   1   0   1   1   1   0   | 0   | 15  | 0  
0   0   0   1   0   1   1   1   1   | 0   | 15  | 0  
0   0   0   1   1   0   0   0   0   | 0   | 15  | 0  
0   0   0   1   1   0   0   0   1   | 0   | 15  | 0  
0   0   0   1   1   0   0   1   0   | 0   | 15  | 0  
0   0   0   1   1   0   0   1   1   | 0   | 15  | 0  
0   0   0   1   1   0   1   0   0   | 0   | 15  | 0  
0   0   0   1   1   0   1   0   1   | 0   | 15  | 0  
0   0   0   1   1   0   1   1   0   | 0   | 15  | 0  
0   0   0   1   1   0   1   1   1   | 0   | 15  | 0  
0   0   0   1   1   1   0   0   0   | 0   | 15  | 0  
0   0   0   1   1   1   0   0   1   | 0   | 15  | 0  
0   0   0   1   1   1   0   1   0   | 0   | 15  | 0  
0   0   0   1   1   1   0   1   1   | 0   | 15  | 0  
0   0   0   1   1   1   1   0   0   | 0   | 15  | 0  
0   0   0   1   1   1   1   0   1   | 0   | 15  | 0  
0   0   0   1   1   1   1   1   0   | 0   | 15  | 0  
0   0   0   1   1   1   1   1   1   | 0   | 15  | 0  
0   0   1   0   0   0   0   0   0   | 0   | 15  | 15 
0   0   1   0   0   0   0   0   1   | 0   | 15  | 0  
0   0   1   0   0   0   0   1   0   | 0   | 15  | 0  
0   0   1   0   0   0   0   1   1   | 0   | 15  | 0  
0   0   1   0   0   0   1   0   0   | 0   | 15  | 0  
0   0   1   0   0   0   1   0   1   | 0   | 15  | 0  
0   0   1   0   0   0   1   1   0   | 0   | 15  | 0  
0   0   1   0   0   0   1   1   1   | 0   | 15  | 0  
0   0   1   0   0   1   0   0   0   | 0   | 15  | 0  
0   0   1   0   0   1   0   0   1   | 0   | 15  | 0  
0   0   1   0   0   1   0   1   0   | 0   | 15  | 0  
0   0   1   0   0   1   0   1   1   | 0   | 15  | 0  
0   0   1   0   0   1   1   0   0   | 0   | 15  | 0  
0   0   1   0   0   1   1   0   1   | 0   | 15  | 0  
0   0   1   0   0   1   1   1   0   | 0   | 15  | 0  
0   0   1   0   0   1   1   1   1   | 0   | 15  | 0  
0   0   1   0   1   0   0   0   0   | 0   | 15  | 0  
0   0   1   0   1   0   0   0   1   | 0   | 15  | 0  
0   0   1   0   1   0   0   1   0   | 0   | 15  | 0  
0   0   1   0   1   0   0   1   1   | 0   | 15  | 0  
0   0   1   0   1   0   1   0   0   | 0   | 15  | 0  
0   0   1   0   1   0   1   0   1   | 0   | 15  | 0  
0   0   1   0   1   0   1   1   0   | 0   | 15  | 0  
0   0   1   0   1   0   1   1   1   | 0   | 15  | 0  
0   0   1   0   1   1   0   0   0   | 0   | 15  | 0  
0   0   1   0   1   1   0   0   1   | 0   | 15  | 0  
0   0   1   0   1   1   0   1   0   | 0   | 15  | 0  
0   0   1   0   1   1   0   1   1   | 0   | 15  | 0  
0   0   1   0   1   1   1   0   0   | 0   | 15  | 0  
0   0   1   0   1   1   1   0   1   | 0   | 15  | 0  
0   0   1   0   1   1   1   1   0   | 0   | 15  | 0  
0   0   1   0   1   1   1   1   1   | 0   | 15  | 0  
0   0   1   1   0   0   0   0   0   | 0   | 15  | 0  
0   0   1   1   0   0   0   0   1   | 0   | 15  | 0  
0   0   1   1   0   0   0   1   0   | 0   | 15  | 0  
0   0   1   1   0   0   0   1   1   | 0   | 15  | 0  
0   0   1   1   0   0   1   0   0   | 0   | 15  | 0  
0   0   1   1   0   0   1   0   1   | 0   | 15  | 0  
0   0   1   1   0   0   1   1   0   | 0   | 15  | 0  
0   0   1   1   0   0   1   1   1   | 0   | 15  | 0  
0   0   1   1   0   1   0   0   0   | 0   | 15  | 0  
0   0   1   1   0   1   0   0   1   | 0   | 15  | 0  
0   0   1   1   0   1   0   1   0   | 0   | 15  | 0  
0   0   1   1   0   1   0   1   1   | 0   | 15  | 0  
0   0   1   1   0   1   1   0   0   | 0   | 15  | 0  
0   0   1   1   0   1   1   0   1   | 0   | 15  | 0  
0   0   1   1   0   1   1   1   0   | 0   | 15  | 0  
0   0   1   1   0   1   1   1   1   | 0   | 15  | 0  
0   0   1   1   1   0   0   0   0   | 0   | 15  | 0  
0   0   1   1   1   0   0   0   1   | 0   | 15  | 0  
0   0   1   1   1   0   0   1   0   | 0   | 15  | 0  
0   0   1   1   1   0   0   1   1   | 0   | 15  | 0  
0   0   1   1   1   0   1   0   0   | 0   | 15  | 0  
0   0   1   1   1   0   1   0   1   | 0   | 15  | 0  
0   0   1   1   1   0   1   1   0   | 0   | 15  | 0  
0   0   1   1   1   0   1   1   1   | 0   | 15  | 0  
0   0   1   1   1   1   0   0   0   | 0   | 15  | 0  
0   0   1   1   1   1   0   0   1   | 0   | 15  | 0  
0   0   1   1   1   1   0   1   0   | 0   | 15  | 0  
0   0   1   1   1   1   0   1   1   | 0   | 15  | 0  
0   0   1   1   1   1   1   0   0   | 0   | 15  | 0  
0   0   1   1   1   1   1   0   1   | 0   | 15  | 0  
0   0   1   1   1   1   1   1   0   | 0   | 15  | 0  
0   0   1   1   1   1   1   1   1   | 0   | 15  | 0  
0   1   0   0   0   0   0   0   0   | 0   | 15  | 15 
0   1   0   0   0   0   0   0   1   | 0   | 15  | 0  
0   1   0   0   0   0   0   1   0   | 0   | 15  | 0  
0   1   0   0   0   0   0   1   1   | 0   | 15  | 0  
0   1   0   0   0   0   1   0   0   | 0   | 15  | 0  
0   1   0   0   0   0   1   0   1   | 0   | 15  | 0  
0   1   0   0   0   0   1   1   0   | 0   | 15  | 0  
0   1   0   0   0   0   1   1   1   | 0   | 15  | 0  
0   1   0   0   0   1   0   0   0   | 0   | 15  | 0  
0   1   0   0   0   1   0   0   1   | 0   | 15  | 0  
0   1   0   0   0   1   0   1   0   | 0   | 15  | 0  
0   1   0   0   0   1   0   1   1   | 0   | 15  | 0  
0   1   0   0   0   1   1   0   0   | 0   | 15  | 0  
0   1   0   0   0   1   1   0   1   | 0   | 15  | 0  
0   1   0   0   0   1   1   1   0   | 0   | 15  | 0  
0   1   0   0   0   1   1   1   1   | 0   | 15  | 0  
0   1   0   0   1   0   0   0   0   | 0   | 15  | 0  
0   1   0   0   1   0   0   0   1   | 0   | 15  | 0  
0   1   0   0   1   0   0   1   0   | 0   | 15  | 0  
0   1   0   0   1   0   0   1   1   | 0   | 15  | 0  
0   1   0   0   1   0   1   0   0   | 0   | 15  | 0  
0   1   0   0   1   0   1   0   1   | 0   | 15  | 0  
0   1   0   0   1   0   1   1   0   | 0   | 15  | 0  
0   1   0   0   1   0   1   1   1   | 0   | 15  | 0  
0   1   0   0   1   1   0   0   0   | 0   | 15  | 0  
0   1   0   0   1   1   0   0   1   | 0   | 15  | 0  
0   1   0   0   1   1   0   1   0   | 0   | 15  | 0  
0   1   0   0   1   1   0   1   1   | 0   | 15  | 0  
0   1   0   0   1   1   1   0   0   | 0   | 15  | 0  
0   1   0   0   1   1   1   0   1   | 0   | 15  | 0  
0   1   0   0   1   1   1   1   0   | 0   | 15  | 0  
0   1   0   0   1   1   1   1   1   | 0   | 15  | 0  
0   1   0   1   0   0   0   0   0   | 0   | 15  | 0  
0   1   0   1   0   0   0   0   1   | 0   | 15  | 0  
0   1   0   1   0   0   0   1   0   | 0   | 15  | 0  
0   1   0   1   0   0   0   1   1   | 0   | 15  | 0  
0   1   0   1   0   0   1   0   0   | 0   | 15  | 0  
0   1   0   1   0   0   1   0   1   | 0   | 15  | 0  
0   1   0   1   0   0   1   1   0   | 0   | 15  | 0  
0   1   0   1   0   0   1   1   1   | 0   | 15  | 0  
0   1   0   1   0   1   0   0   0   | 0   | 15  | 0  
0   1   0   1   0   1   0   0   1   | 0   | 15  | 0  
0   1   0   1   0   1   0   1   0   | 0   | 15  | 0  
0   1   0   1   0   1   0   1   1   | 0   | 15  | 0  
0   1   0   1   0   1   1   0   0   | 0   | 15  | 0  
0   1   0   1   0   1   1   0   1   | 0   | 15  | 0  
0   1   0   1   0   1   1   1   0   | 0   | 15  | 0  
0   1   0   1   0   1   1   1   1   | 0   | 15  | 0  
0   1   0   1   1   0   0   0   0   | 0   | 15  | 0  
0   1   0   1   1   0   0   0   1   | 0   | 15  | 0  
0   1   0   1   1   0   0   1   0   | 0   | 15  | 0  
0   1   0   1   1   0   0   1   1   | 0   | 15  | 0  
0   1   0   1   1   0   1   0   0   | 0   | 15  | 0  
0   1   0   1   1   0   1   0   1   | 0   | 15  | 0  
0   1   0   1   1   0   1   1   0   | 0   | 15  | 0  
0   1   0   1   1   0   1   1   1   | 0   | 15  | 0  
0   1   0   1   1   1   0   0   0   | 0   | 15  | 0  
0   1   0   1   1   1   0   0   1   | 0   | 15  | 0  
0   1   0   1   1   1   0   1   0   | 0   | 15  | 0  
0   1   0   1   1   1   0   1   1   | 0   | 15  | 0  
0   1   0   1   1   1   1   0   0   | 0   | 15  | 0  
0   1   0   1   1   1   1   0   1   | 0   | 15  | 0  
0   1   0   1   1   1   1   1   0   | 0   | 15  | 0  
0   1   0   1   1   1   1   1   1   | 0   | 15  | 0  
0   1   1   0   0   0   0   0   0   | 0   | 15  | 0  
0   1   1   0   0   0   0   0   1   | 0   | 15  | 0  
0   1   1   0   0   0   0   1   0   | 0   | 15  | 0  
0   1   1   0   0   0   0   1   1   | 0   | 15  | 0  
0   1   1   0   0   0   1   0   0   | 0   | 15  | 0  
0   1   1   0   0   0   1   0   1   | 0   | 15  | 0  
0   1   1   0   0   0   1   1   0   | 0   | 15  | 0  
0   1   1   0   0   0   1   1   1   | 0   | 15  | 0  
0   1   1   0   0   1   0   0   0   | 0   | 15  | 0  
0   1   1   0   0   1   0   0   1   | 0   | 15  | 0  
0   1   1   0   0   1   0   1   0   | 0   | 15  | 0  
0   1   1   0   0   1   0   1   1   | 0   | 15  | 0  
0   1   1   0   0   1   1   0   0   | 0   | 15  | 0  
0   1   1   0   0   1   1   0   1   | 0   | 15  | 0  
0   1   1   0   0   1   1   1   0   | 0   | 15  | 0  
0   1   1   0   0   1   1   1   1   | 0   | 15  | 0  
0   1   1   0   1   0   0   0   0   | 0   | 15  | 0  
0   1   1   0   1   0   0   0   1   | 0   | 15  | 0  
0   1   1   0   1   0   0   1   0   | 0   | 15  | 0  
0   1   1   0   1   0   0   1   1   | 0   | 15  | 0  
0   1   1   0   1   0   1   0   0   | 0   | 15  | 0  
0   1   1   0   1   0   1   0   1   | 0   | 15  | 0  
0   1   1   0   1   0   1   1   0   | 0   | 15  | 0  
0   1   1   0   1   0   1   1   1   | 0   | 15  | 0  
0   1   1   0   1   1   0   0   0   | 0   | 15  | 0  
0   1   1   0   1   1   0   0   1   | 0   | 15  | 0  
0   1   1   0   1   1   0   1   0   | 0   | 15  | 0  
0   1   1   0   1   1   0   1   1   | 0   | 15  | 0  
0   1   1   0   1   1   1   0   0   | 0   | 15  | 0  
0   1   1   0   1   1   1   0   1   | 0   | 15  | 0  
0   1   1   0   1   1   1   1   0   | 0   | 15  | 0  
0   1   1   0   1   1   1   1   1   | 0   | 15  | 0  
0   1   1   1   0   0   0   0   0   | 0   | 15  | 0  
0   1   1   1   0   0   0   0   1   | 0   | 15  | 0  
0   1   1   1   0   0   0   1   0   | 0   | 15  | 0  
0   1   1   1   0   0   0   1   1   | 0   | 15  | 0  
0   1   1   1   0   0   1   0   0   | 0   | 15  | 0  
0   1   1   1   0   0   1   0   1   | 0   | 15  | 0  
0   1   1   1   0   0   1   1   0   | 0   | 15  | 0  
0   1   1   1   0   0   1   1   1   | 0   | 15  | 0  
0   1   1   1   0   1   0   0   0   | 0   | 15  | 0  
0   1   1   1   0   1   0   0   1   | 0   | 15  | 0  
0   1   1   1   0   1   0   1   0   | 0   | 15  | 0  
0   1   1   1   0   1   0   1   1   | 0   | 15  | 0  
0   1   1   1   0   1   1   0   0   | 0   | 15  | 0  
0   1   1   1   0   1   1   0   1   | 0   | 15  | 0  
0   1   1   1   0   1   1   1   0   | 0   | 15  | 0  
0   1   1   1   0   1   1   1   1   | 0   | 15  | 0  
0   1   1   1   1   0   0   0   0   | 0   | 15  | 0  
0   1   1   1   1   0   0   0   1   | 0   | 15  | 0  
0   1   1   1   1   0   0   1   0   | 0   | 15  | 0  
0   1   1   1   1   0   0   1   1   | 0   | 15  | 0  
0   1   1   1   1   0   1   0   0   | 0   | 15  | 0  
0   1   1   1   1   0   1   0   1   | 0   | 15  | 0  
0   1   1   1   1   0   1   1   0   | 0   | 15  | 0  
0   1   1   1   1   0   1   1   1   | 0   | 15  | 0  
0   1   1   1   1   1   0   0   0   | 0   | 15  | 0  
0   1   1   1   1   1   0   0   1   | 0   | 15  | 0  
0   1   1   1   1   1   0   1   0   | 0   | 15  | 0  
0   1   1   1   1   1   0   1   1   | 0   | 15  | 0  
0   1   1   1   1   1   1   0   0   | 0   | 15  | 0  
0   1   1   1   1   1   1   0   1   | 0   | 15  | 0  
0   1   1   1   1   1   1   1   0   | 0   | 15  | 0  
0   1   1   1   1   1   1   1   1   | 0   | 15  | 0  
1   0   0   0   0   0   0   0   0   | 0   | 15  | 15 
1   0   0   0   0   0   0   0   1   | 0   | 15  | 0  
1   0   0   0   0   0   0   1   0   | 0   | 15  | 0  
1   0   0   0   0   0   0   1   1   | 0   | 15  | 0  
1   0   0   0   0   0   1   0   0   | 0   | 15  | 0  
1   0   0   0   0   0   1   0   1   | 0   | 15  | 0  
1   0   0   0   0   0   1   1   0   | 0   | 15  | 0  
1   0   0   0   0   0   1   1   1   | 0   | 15  | 0  
1   0   0   0   0   1   0   0   0   | 0   | 15  | 0  
1   0   0   0   0   1   0   0   1   | 0   | 15  | 0  
1   0   0   0   0   1   0   1   0   | 0   | 15  | 0  
1   0   0   0   0   1   0   1   1   | 0   | 15  | 0  
1   0   0   0   0   1   1   0   0   | 0   | 15  | 0  
1   0   0   0   0   1   1   0   1   | 0   | 15  | 0  
1   0   0   0   0   1   1   1   0   | 0   | 15  | 0  
1   0   0   0   0   1   1   1   1   | 0   | 15  | 0  
1   0   0   0   1   0   0   0   0   | 0   | 15  | 0  
1   0   0   0   1   0   0   0   1   | 0   | 15  | 0  
1   0   0   0   1   0   0   1   0   | 0   | 15  | 0  
1   0   0   0   1   0   0   1   1   | 0   | 15  | 0  
1   0   0   0   1   0   1   0   0   | 0   | 15  | 0  
1   0   0   0   1   0   1   0   1   | 0   | 15  | 0  
1   0   0   0   1   0   1   1   0   | 0   | 15  | 0  
1   0   0   0   1   0   1   1   1   | 0   | 15  | 0  
1   0   0   0   1   1   0   0   0   | 0   | 15  | 0  
1   0   0   0   1   1   0   0   1   | 0   | 15  | 0  
1   0   0   0   1   1   0   1   0   | 0   | 15  | 0  
1   0   0   0   1   1   0   1   1   | 0   | 15  | 0  
1   0   0   0   1   1   1   0   0   | 0   | 15  | 0  
1   0   0   0   1   1   1   0   1   | 0   | 15  | 0  
1   0   0   0   1   1   1   1   0   | 0   | 15  | 0  
1   0   0   0   1   1   1   1   1   | 0   | 15  | 0  
1   0   0   1   0   0   0   0   0   | 0   | 15  | 0  
1   0   0   1   0   0   0   0   1   | 0   | 15  | 0  
1   0   0   1   0   0   0   1   0   | 0   | 15  | 0  
1   0   0   1   0   0   0   1   1   | 0   | 15  | 0  
1   0   0   1   0   0   1   0   0   | 0   | 15  | 0  
1   0   0   1   0   0   1   0   1   | 0   | 15  | 0  
1   0   0   1   0   0   1   1   0   | 0   | 15  | 0  
1   0   0   1   0   0   1   1   1   | 0   | 15  | 0  
1   0   0   1   0   1   0   0   0   | 0   | 15  | 0  
1   0   0   1   0   1   0   0   1   | 0   | 15  | 0  
1   0   0   1   0   1   0   1   0   | 0   | 15  | 0  
1   0   0   1   0   1   0   1   1   | 0   | 15  | 0  
1   0   0   1   0   1   1   0   0   | 0   | 15  | 0  
1   0   0   1   0   1   1   0   1   | 0   | 15  | 0  
1   0   0   1   0   1   1   1   0   | 0   | 15  | 0  
1   0   0   1   0   1   1   1   1   | 0   | 15  | 0  
1   0   0   1   1   0   0   0   0   | 0   | 15  | 0  
1   0   0   1   1   0   0   0   1   | 0   | 15  | 0  
1   0   0   1   1   0   0   1   0   | 0   | 15  | 0  
1   0   0   1   1   0   0   1   1   | 0   | 15  | 0  
1   0   0   1   1   0   1   0   0   | 0   | 15  | 0  
1   0   0   1   1   0   1   0   1   | 0   | 15  | 0  
1   0   0   1   1   0   1   1   0   | 0   | 15  | 0  
1   0   0   1   1   0   1   1   1   | 0   | 15  | 0  
1   0   0   1   1   1   0   0   0   | 0   | 15  | 0  
1   0   0   1   1   1   0   0   1   | 0   | 15  | 0  
1   0   0   1   1   1   0   1   0   | 0   | 15  | 0  
1   0   0   1   1   1   0   1   1   | 0   | 15  | 0  
1   0   0   1   1   1   1   0   0   | 0   | 15  | 0  
1   0   0   1   1   1   1   0   1   | 0   | 15  | 0  
1   0   0   1   1   1   1   1   0   | 0   | 15  | 0  
1   0   0   1   1   1   1   1   1   | 0   | 15  | 0  
1   0   1   0   0   0   0   0   0   | 0   | 15  | 0  
1   0   1   0   0   0   0   0   1   | 0   | 15  | 0  
1   0   1   0   0   0   0   1   0   | 0   | 15  | 0  
1   0   1   0   0   0   0   1   1   | 0   | 15  | 0  
1   0   1   0   0   0   1   0   0   | 0   | 15  | 0  
1   0   1   0   0   0   1   0   1   | 0   | 15  | 0  
1   0   1   0   0   0   1   1   0   | 0   | 15  | 0  
1   0   1   0   0   0   1   1   1   | 0   | 15  | 0  
1   0   1   0   0   1   0   0   0   | 0   | 15  | 0  
1   0   1   0   0   1   0   0   1   | 0   | 15  | 0  
1   0   1   0   0   1   0   1   0   | 0   | 15  | 0  
1   0   1   0   0   1   0   1   1   | 0   | 15  | 0  
1   0   1   0   0   1   1   0   0   | 0   | 15  | 0  
1   0   1   0   0   1   1   0   1   | 0   | 15  | 0  
1   0   1   0   0   1   1   1   0   | 0   | 15  | 0  
1   0   1   0   0   1   1   1   1   | 0   | 15  | 0  
1   0   1   0   1   0   0   0   0   | 0   | 15  | 0  
1   0   1   0   1   0   0   0   1   | 0   | 15  | 0  
1   0   1   0   1   0   0   1   0   | 0   | 15  | 0  
1   0   1   0   1   0   0   1   1   | 0   | 15  | 0  
1   0   1   0   1   0   1   0   0   | 0   | 15  | 0  
1   0   1   0   1   0   1   0   1   | 0   | 15  | 0  
1   0   1   0   1   0   1   1   0   | 0   | 15  | 0  
1   0   1   0   1   0   1   1   1   | 0   | 15  | 0  
1   0   1   0   1   1   0   0   0   | 0   | 15  | 0  
1   0   1   0   1   1   0   0   1   | 0   | 15  | 0  
1   0   1   0   1   1   0   1   0   | 0   | 15  | 0  
1   0   1   0   1   1   0   1   1   | 0   | 15  | 0  
1   0   1   0   1   1   1   0   0   | 0   | 15  | 0  
1   0   1   0   1   1   1   0   1   | 0   | 15  | 0  
1   0   1   0   1   1   1   1   0   | 0   | 15  | 0  
1   0   1   0   1   1   1   1   1   | 0   | 15  | 0  
1   0   1   1   0   0   0   0   0   | 0   | 15  | 0  
1   0   1   1   0   0   0   0   1   | 0   | 15  | 0  
1   0   1   1   0   0   0   1   0   | 0   | 15  | 0  
1   0   1   1   0   0   0   1   1   | 0   | 15  | 0  
1   0   1   1   0   0   1   0   0   | 0   | 15  | 0  
1   0   1   1   0   0   1   0   1   | 0   | 15  | 0  
1   0   1   1   0   0   1   1   0   | 0   | 15  | 0  
1   0   1   1   0   0   1   1   1   | 0   | 15  | 0  
1   0   1   1   0   1   0   0   0   | 0   | 15  | 0  
1   0   1   1   0   1   0   0   1   | 0   | 15  | 0  
1   0   1   1   0   1   0   1   0   | 0   | 15  | 0  
1   0   1   1   0   1   0   1   1   | 0   | 15  | 0  
1   0   1   1   0   1   1   0   0   | 0   | 15  | 0  
1   0   1   1   0   1   1   0   1   | 0   | 15  | 0  
1   0   1   1   0   1   1   1   0   | 0   | 15  | 0  
1   0   1   1   0   1   1   1   1   | 0   | 15  | 0  
1   0   1   1   1   0   0   0   0   | 0   | 15  | 0  
1   0   1   1   1   0   0   0   1   | 0   | 15  | 0  
1   0   1   1   1   0   0   1   0   | 0   | 15  | 0  
1   0   1   1   1   0   0   1   1   | 0   | 15  | 0  
1   0   1   1   1   0   1   0   0   | 0   | 15  | 0  
1   0   1   1   1   0   1   0   1   | 0   | 15  | 0  
1   0   1   1   1   0   1   1   0   | 0   | 15  | 0  
1   0   1   1   1   0   1   1   1   | 0   | 15  | 0  
1   0   1   1   1   1   0   0   0   | 0   | 15  | 0  
1   0   1   1   1   1   0   0   1   | 0   | 15  | 0  
1   0   1   1   1   1   0   1   0   | 0   | 15  | 0  
1   0   1   1   1   1   0   1   1   | 0   | 15  | 0  
1   0   1   1   1   1   1   0   0   | 0   | 15  | 0  
1   0   1   1   1   1   1   0   1   | 0   | 15  | 0  
1   0   1   1   1   1   1   1   0   | 0   | 15  | 0  
1   0   1   1   1   1   1   1   1   | 0   | 15  | 0  
1   1   0   0   0   0   0   0   0   | 0   | 15  | 0  
1   1   0   0   0   0   0   0   1   | 0   | 15  | 0  
1   1   0   0   0   0   0   1   0   | 0   | 15  | 0  
1   1   0   0   0   0   0   1   1   | 0   | 15  | 0  
1   1   0   0   0   0   1   0   0   | 0   | 15  | 0  
1   1   0   0   0   0   1   0   1   | 0   | 15  | 0  
1   1   0   0   0   0   1   1   0   | 0   | 15  | 0  
1   1   0   0   0   0   1   1   1   | 0   | 15  | 0  
1   1   0   0   0   1   0   0   0   | 0   | 15  | 0  
1   1   0   0   0   1   0   0   1   | 0   | 15  | 0  
1   1   0   0   0   1   0   1   0   | 0   | 15  | 0  
1   1   0   0   0   1   0   1   1   | 0   | 15  | 0  
1   1   0   0   0   1   1   0   0   | 0   | 15  | 0  
1   1   0   0   0   1   1   0   1   | 0   | 15  | 0  
1   1   0   0   0   1   1   1   0   | 0   | 15  | 0  
1   1   0   0   0   1   1   1   1   | 0   | 15  | 0  
1   1   0   0   1   0   0   0   0   | 0   | 15  | 0  
1   1   0   0   1   0   0   0   1   | 0   | 15  | 0  
1   1   0   0   1   0   0   1   0   | 0   | 15  | 0  
1   1   0   0   1   0   0   1   1   | 0   | 15  | 0  
1   1   0   0   1   0   1   0   0   | 0   | 15  | 0  
1   1   0   0   1   0   1   0   1   | 0   | 15  | 0  
1   1   0   0   1   0   1   1   0   | 0   | 15  | 0  
1   1   0   0   1   0   1   1   1   | 0   | 15  | 0  
1   1   0   0   1   1   0   0   0   | 0   | 15  | 0  
1   1   0   0   1   1   0   0   1   | 0   | 15  | 0  
1   1   0   0   1   1   0   1   0   | 0   | 15  | 0  
1   1   0   0   1   1   0   1   1   | 0   | 15  | 0  
1   1   0   0   1   1   1   0   0   | 0   | 15  | 0  
1   1   0   0   1   1   1   0   1   | 0   | 15  | 0  
1   1   0   0   1   1   1   1   0   | 0   | 15  | 0  
1   1   0   0   1   1   1   1   1   | 0   | 15  | 0  
1   1   0   1   0   0   0   0   0   | 0   | 15  | 0  
1   1   0   1   0   0   0   0   1   | 0   | 15  | 0  
1   1   0   1   0   0   0   1   0   | 0   | 15  | 0  
1   1   0   1   0   0   0   1   1   | 0   | 15  | 0  
1   1   0   1   0   0   1   0   0   | 0   | 15  | 0  
1   1   0   1   0   0   1   0   1   | 0   | 15  | 0  
1   1   0   1   0   0   1   1   0   | 0   | 15  | 0  
1   1   0   1   0   0   1   1   1   | 0   | 15  | 0  
1   1   0   1   0   1   0   0   0   | 0   | 15  | 0  
1   1   0   1   0   1   0   0   1   | 0   | 15  | 0  
1   1   0   1   0   1   0   1   0   | 0   | 15  | 0  
1   1   0   1   0   1   0   1   1   | 0   | 15  | 0  
1   1   0   1   0   1   1   0   0   | 0   | 15  | 0  
1   1   0   1   0   1   1   0   1   | 0   | 15  | 0  
1   1   0   1   0   1   1   1   0   | 0   | 15  | 0  
1   1   0   1   0   1   1   1   1   | 0   | 15  | 0  
1   1   0   1   1   0   0   0   0   | 0   | 15  | 0  
1   1   0   1   1   0   0   0   1   | 0   | 15  | 0  
1   1   0   1   1   0   0   1   0   | 0   | 15  | 0  
1   1   0   1   1   0   0   1   1   | 0   | 15  | 0  
1   1   0   1   1   0   1   0   0   | 0   | 15  | 0  
1   1   0   1   1   0   1   0   1   | 0   | 15  | 0  
1   1   0   1   1   0   1   1   0   | 0   | 15  | 0  
1   1   0   1   1   0   1   1   1   | 0   | 15  | 0  
1   1   0   1   1   1   0   0   0   | 0   | 15  | 0  
1   1   0   1   1   1   0   0   1   | 0   | 15  | 0  
1   1   0   1   1   1   0   1   0   | 0   | 15  | 0  
1   1   0   1   1   1   0   1   1   | 0   | 15  | 0  
1   1   0   1   1   1   1   0   0   | 0   | 15  | 0  
